Trial-ID,Status,Iteration,dropout,lr,num_hidden_units,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
35,COMPLETED,1,0.4,0.009550774724464032,41.0,0.7851893725268513,324.1,0.836551724137931,0.5498894453048706,0.007687959299038982,0.7780965566635132,0.023755821585655146
36,INTERMEDIATE,1,0.4,0.018840840410597245,43.0,0.7842283776144714,274.3,0.8393103448275863,0.521920382976532,0.006671848501978328,0.7778910398483276,0.026295131444931008
36,COMPLETED,1,0.4,0.018840840410597245,43.0,0.7842283776144714,274.3,0.8393103448275863,0.521920382976532,0.006671848501978328,0.7778910398483276,0.026295131444931008
37,INTERMEDIATE,1,0.4,0.0004999999999999999,45.0,0.778631995477671,1154.3,0.813103448275862,0.6775588989257812,0.007576314301865561,0.8116744160652161,0.034341987967491217
37,COMPLETED,1,0.4,0.0004999999999999999,45.0,0.778631995477671,1154.3,0.813103448275862,0.6775588989257812,0.007576314301865561,0.8116744160652161,0.034341987967491217
38,INTERMEDIATE,1,0.0,0.049999999999999996,30.0,0.7847371396269078,230.0,0.8472413793103449,0.5043367147445679,0.007235726399095532,0.7938543558120728,0.030014926195144565
38,COMPLETED,1,0.0,0.049999999999999996,30.0,0.7847371396269078,230.0,0.8472413793103449,0.5043367147445679,0.007235726399095532,0.7938543558120728,0.030014926195144565
39,INTERMEDIATE,1,0.4,0.0004999999999999999,28.0,0.7778971170152629,1534.3,0.811896551724138,0.6636864542961121,0.007013849632560687,0.8074997067451477,0.02474551647901535
39,COMPLETED,1,0.4,0.0004999999999999999,28.0,0.7778971170152629,1534.3,0.811896551724138,0.6636864542961121,0.007013849632560687,0.8074997067451477,0.02474551647901535
40,INTERMEDIATE,1,0.4,0.049999999999999996,25.0,0.7860373092142454,297.3,0.8406896551724138,0.5205129384994507,0.007351611079706277,0.7781295776367188,0.02893023341894141
40,COMPLETED,1,0.4,0.049999999999999996,25.0,0.7860373092142454,297.3,0.8406896551724138,0.5205129384994507,0.007351611079706277,0.7781295776367188,0.02893023341894141
41,INTERMEDIATE,1,0.4,0.049999999999999996,32.0,0.7842849067269644,259.9,0.8436206896551726,0.5218311548233032,0.007632843414358215,0.7824132442474365,0.022890393435955003
41,COMPLETED,1,0.4,0.049999999999999996,32.0,0.7842849067269644,259.9,0.8436206896551726,0.5218311548233032,0.007632843414358215,0.7824132442474365,0.022890393435955003
42,INTERMEDIATE,1,0.0,0.0004999999999999999,25.0,0.7793668739400792,1338.6,0.814655172413793,0.6521986126899719,0.006726964386659096,0.8057821393013,0.01902862489223478
42,COMPLETED,1,0.0,0.0004999999999999999,25.0,0.7793668739400792,1338.6,0.814655172413793,0.6521986126899719,0.006726964386659096,0.8057821393013,0.01902862489223478
43,INTERMEDIATE,1,0.4,0.049999999999999996,35.0,0.7844544940644431,279.8,0.8462068965517242,0.5011184215545654,0.005428208027133841,0.7800601124763489,0.022536633908748605
43,COMPLETED,1,0.4,0.049999999999999996,35.0,0.7844544940644431,279.8,0.8462068965517242,0.5011184215545654,0.005428208027133841,0.7800601124763489,0.022536633908748605
44,INTERMEDIATE,1,0.4,0.023726082357292712,42.0,0.7874505370265685,292.6,0.8439655172413794,0.5193697214126587,0.006219615602034989,0.7824501395225525,0.0231998369097709
44,COMPLETED,1,0.4,0.023726082357292712,42.0,0.7874505370265685,292.6,0.8439655172413794,0.5193697214126587,0.006219615602034989,0.7824501395225525,0.0231998369097709
45,INTERMEDIATE,1,0.4,0.049999999999999996,42.0,0.7851893725268513,303.3,0.8460344827586207,0.49174943566322327,0.006055681175805683,0.7804467082023621,0.023279355466365836
45,COMPLETED,1,0.4,0.049999999999999996,42.0,0.7851893725268513,303.3,0.8460344827586207,0.49174943566322327,0.006055681175805683,0.7804467082023621,0.023279355466365836
