Trial-ID,Status,Iteration,dropout,lr,num_heads,num_hidden_units,num_layers,residual,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
16,COMPLETED,1,0.2,0.001513821548619632,6,19,1,True,0.7947993216506501,325.6,0.8600000000000001,0.4446328282356262,0.008140192198982543,0.7026554346084595,0.024348855018615723
17,INTERMEDIATE,1,0.2,0.0014941008695633473,7,19,1,True,0.7967213114754098,355.8,0.8775862068965518,0.3753174841403961,0.009496890898813004,0.6936286687850952,0.021158456802368164
17,COMPLETED,1,0.2,0.0014941008695633473,7,19,1,True,0.7967213114754098,355.8,0.8775862068965518,0.3753174841403961,0.009496890898813004,0.6936286687850952,0.021158456802368164
18,INTERMEDIATE,1,0.2,0.0015014355622919844,7,19,1,True,0.7941209723007349,306.8,0.8572413793103448,0.44324415922164917,0.006557377049180246,0.6918144822120667,0.013628511130809762
18,COMPLETED,1,0.2,0.0015014355622919844,7,19,1,True,0.7941209723007349,306.8,0.8572413793103448,0.44324415922164917,0.006557377049180246,0.6918144822120667,0.013628511130809762
19,INTERMEDIATE,1,0.2,0.001,7,19,1,True,0.7875635952515545,354.2,0.8482758620689654,0.47981566190719604,0.010514414923685766,0.7007590532302856,0.020670329034328416
19,COMPLETED,1,0.2,0.001,7,19,1,True,0.7875635952515545,354.2,0.8482758620689654,0.47981566190719604,0.010514414923685766,0.7007590532302856,0.020670329034328416
20,INTERMEDIATE,1,0.5243059553603748,0.0015829260620097104,7,20,1,True,0.7966082532504238,442.8,0.8517241379310345,0.44812893867492676,0.0038439796495195466,0.6906043291091919,0.015933990478515625
20,COMPLETED,1,0.5243059553603748,0.0015829260620097104,7,20,1,True,0.7966082532504238,442.8,0.8517241379310345,0.44812893867492676,0.0038439796495195466,0.6906043291091919,0.015933990478515625
21,INTERMEDIATE,1,0.3617748513363835,0.0019282876655241084,7,20,1,True,0.793103448275862,288.8,0.8534482758620688,0.44450610876083374,0.007235726399095532,0.6970964670181274,0.020495295524597168
21,COMPLETED,1,0.3617748513363835,0.0019282876655241084,7,20,1,True,0.793103448275862,288.8,0.8534482758620688,0.44450610876083374,0.007235726399095532,0.6970964670181274,0.020495295524597168
22,INTERMEDIATE,1,0.3565734540608779,0.001911017716693025,7,20,1,True,0.7951384963256076,296.8,0.8517241379310345,0.4467725157737732,0.005879027699265071,0.695591926574707,0.015315413475036621
22,COMPLETED,1,0.3565734540608779,0.001911017716693025,7,20,1,True,0.7951384963256076,296.8,0.8517241379310345,0.4467725157737732,0.005879027699265071,0.695591926574707,0.015315413475036621
23,INTERMEDIATE,1,0.3808823427265682,0.001987822225882254,7,20,1,True,0.7970604861503674,295.2,0.8524137931034483,0.44586247205734253,0.007009609949123918,0.6936682462692261,0.018110156059265137
23,COMPLETED,1,0.3808823427265682,0.001987822225882254,7,20,1,True,0.7970604861503674,295.2,0.8524137931034483,0.44586247205734253,0.007009609949123918,0.6936682462692261,0.018110156059265137
24,INTERMEDIATE,1,0.4277552520113682,0.0021557087724449753,7,20,1,True,0.7970604861503674,346.8,0.8662068965517241,0.3972110450267792,0.006331260599208632,0.6941453218460083,0.018861234188079834
24,COMPLETED,1,0.4277552520113682,0.0021557087724449753,7,20,1,True,0.7970604861503674,346.8,0.8662068965517241,0.3972110450267792,0.006331260599208632,0.6941453218460083,0.018861234188079834
25,INTERMEDIATE,1,0.4649501430499564,0.0021771689034540765,7,20,1,True,0.7953646127755795,381.0,0.8627586206896553,0.4093089997768402,0.005652911249293346,0.6990350484848022,0.016498911380767867
25,COMPLETED,1,0.4649501430499564,0.0021771689034540765,7,20,1,True,0.7953646127755795,381.0,0.8627586206896553,0.4093089997768402,0.005652911249293346,0.6990350484848022,0.016498911380767867
26,INTERMEDIATE,1,0.47440796212212966,0.002085693443255914,7,20,1,True,0.7949123798756359,365.2,0.8617241379310345,0.42064371705055237,0.005765969474279431,0.6897889375686646,0.012059152126312256
26,COMPLETED,1,0.47440796212212966,0.002085693443255914,7,20,1,True,0.7949123798756359,365.2,0.8617241379310345,0.42064371705055237,0.005765969474279431,0.6897889375686646,0.012059152126312256
27,INTERMEDIATE,1,0.4594005726607949,0.0019769787898314536,7,20,1,True,0.7961560203504805,355.6,0.8544827586206896,0.44297924637794495,0.007461842849067257,0.6948200464248657,0.01880788803100586
27,COMPLETED,1,0.4594005726607949,0.0019769787898314536,7,20,1,True,0.7961560203504805,355.6,0.8544827586206896,0.44297924637794495,0.007461842849067257,0.6948200464248657,0.01880788803100586
28,INTERMEDIATE,1,0.4659058349514366,0.0019575619293228695,7,20,1,True,0.7955907292255511,385.0,0.8541379310344828,0.42862454056739807,0.006783493499152193,0.6969821453094482,0.02080261409282691
28,COMPLETED,1,0.4659058349514366,0.0019575619293228695,7,20,1,True,0.7955907292255511,385.0,0.8541379310344828,0.42862454056739807,0.006783493499152193,0.6969821453094482,0.02080261409282691
29,INTERMEDIATE,1,0.8,0.007977547263774134,7,20,1,True,0.7892594686263427,387.6,0.8137931034482758,0.5672928690910339,0.005879027699265071,0.7081798315048218,0.013594628870487235
29,COMPLETED,1,0.8,0.007977547263774134,7,20,1,True,0.7892594686263427,387.6,0.8137931034482758,0.5672928690910339,0.005879027699265071,0.7081798315048218,0.013594628870487235
30,INTERMEDIATE,1,0.48034321791486145,0.0019048565516679452,7,20,1,True,0.796495195025438,438.2,0.8610344827586207,0.41812825202941895,0.005658564160542667,0.6967483758926392,0.024131478369236015
